Date, Open, Close, High, Low,Change %
26/11/2021,4664.63,4594.62,4664.63,4585.43,-1.5
24/11/2021,4675.78,4701.46,4702.87,4659.89,0.55
23/11/2021,4678.48,4690.7,4699.39,4652.66,0.26
22/11/2021,4712,4682.94,4743.83,4682.17,-0.62
19/11/2021,4708.44,4697.96,4717.75,4694.22,-0.22
18/11/2021,4700.72,4704.54,4708.8,4672.78,0.08
17/11/2021,4701.5,4688.67,4701.5,4684.41,-0.27
16/11/2021,4679.42,4700.9,4714.95,4679.42,0.46
15/11/2021,4689.3,4682.8,4697.42,4672.86,-0.14
12/11/2021,4655.24,4682.85,4688.47,4650.77,0.59
11/11/2021,4659.39,4649.27,4664.55,4648.31,-0.22
10/11/2021,4670.26,4646.71,4684.85,4630.86,-0.5
09/11/2021,4707.25,4685.25,4708.53,4670.87,-0.47
08/11/2021,4701.48,4701.7,4714.92,4694.39,0
05/11/2021,4699.26,4697.53,4718.5,4681.32,-0.04
04/11/2021,4662.93,4680.06,4683,4662.59,0.37
03/11/2021,4630.65,4660.57,4663.46,4621.19,0.65
02/11/2021,4613.34,4630.65,4635.15,4613.34,0.38
01/11/2021,4610.62,4613.67,4620.34,4595.06,0.07
29/10/2021,4572.87,4605.38,4608.08,4567.59,0.71
28/10/2021,4562.84,4596.42,4597.55,4562.84,0.74
27/10/2021,4580.22,4551.68,4584.57,4551.66,-0.62
26/10/2021,4578.69,4574.79,4598.53,4569.17,-0.09
25/10/2021,4553.69,4566.48,4572.62,4537.36,0.28
22/10/2021,4546.12,4544.9,4559.67,4524,-0.03
21/10/2021,4532.24,4549.78,4551.44,4526.89,0.39
20/10/2021,4524.42,4536.19,4540.87,4524.4,0.26
19/10/2021,4497.34,4519.63,4520.4,4496.41,0.5
18/10/2021,4463.72,4486.46,4488.75,4447.47,0.51
15/10/2021,4447.69,4471.37,4475.82,4447.69,0.53
14/10/2021,4386.75,4438.26,4439.73,4386.75,1.17
13/10/2021,4358.01,4363.8,4372.87,4329.92,0.13
12/10/2021,4368.31,4350.65,4374.89,4342.09,-0.4
11/10/2021,4385.44,4361.19,4415.88,4360.59,-0.55
08/10/2021,4406.51,4391.34,4412.02,4386.22,-0.34
07/10/2021,4383.73,4399.76,4429.97,4383.73,0.37
06/10/2021,4319.57,4363.55,4365.57,4290.49,1.02
05/10/2021,4309.87,4345.72,4369.23,4309.87,0.83
04/10/2021,4348.84,4300.46,4355.51,4278.94,-1.11
01/10/2021,4317.16,4357.04,4375.19,4288.52,0.92
30/09/2021,4370.67,4307.54,4382.55,4306.24,-1.44
29/09/2021,4362.41,4359.46,4385.57,4355.08,-0.07
28/09/2021,4419.54,4352.63,4419.54,4346.33,-1.51
27/09/2021,4442.12,4443.11,4457.3,4436.19,0.02
24/09/2021,4438.04,4455.48,4463.12,4430.27,0.39
23/09/2021,4406.75,4448.98,4465.4,4406.75,0.96
22/09/2021,4367.43,4395.64,4416.75,4367.43,0.65
21/09/2021,4374.45,4354.19,4394.87,4347.96,-0.46
20/09/2021,4402.95,4357.73,4402.95,4305.91,-1.03
17/09/2021,4469.74,4432.99,4471.52,4427.76,-0.82
16/09/2021,4477.09,4473.75,4485.87,4443.8,-0.07
15/09/2021,4447.49,4480.7,4486.87,4438.37,0.75
14/09/2021,4479.33,4443.05,4485.68,4435.46,-0.81
13/09/2021,4474.81,4468.73,4492.99,4445.7,-0.14
10/09/2021,4506.92,4458.58,4520.47,4457.66,-1.07
09/09/2021,4513.02,4493.28,4529.9,4492.07,-0.44
08/09/2021,4518.09,4514.07,4521.79,4493.95,-0.09
07/09/2021,4535.38,4520.03,4535.38,4513,-0.34
03/09/2021,4532.42,4535.43,4541.45,4521.3,0.07
02/09/2021,4534.48,4536.95,4545.85,4524.66,0.05
01/09/2021,4528.8,4524.09,4537.11,4522.02,-0.1
31/08/2021,4529.75,4522.68,4531.39,4515.8,-0.16
30/08/2021,4513.76,4528.79,4537.36,4513.76,0.33
27/08/2021,4474.1,4509.37,4513.33,4474.1,0.79
26/08/2021,4493.75,4470,4495.9,4468.99,-0.53
25/08/2021,4490.45,4496.19,4501.71,4485.66,0.13
24/08/2021,4484.4,4486.23,4492.81,4482.28,0.04
23/08/2021,4450.29,4479.53,4489.88,4450.29,0.66
20/08/2021,4410.56,4441.67,4444.35,4406.8,0.71
19/08/2021,4382.44,4405.8,4418.61,4367.73,0.53
18/08/2021,4440.94,4400.27,4454.32,4397.59,-0.92
17/08/2021,4462.12,4448.08,4462.12,4417.83,-0.31
16/08/2021,4461.65,4479.71,4480.26,4437.66,0.4
13/08/2021,4464.84,4468,4468.37,4460.82,0.07
12/08/2021,4446.08,4460.83,4461.77,4435.96,0.33
11/08/2021,4442.18,4447.7,4449.44,4436.42,0.12
10/08/2021,4435.79,4436.75,4445.21,4430.03,0.02
09/08/2021,4437.77,4432.35,4439.39,4424.74,-0.12
06/08/2021,4429.07,4436.52,4440.82,4429.07,0.17
05/08/2021,4408.86,4429.1,4429.76,4408.86,0.46
04/08/2021,4415.95,4402.66,4416.17,4400.23,-0.3
03/08/2021,4392.74,4423.15,4423.79,4373,0.69
02/08/2021,4406.86,4387.16,4422.18,4384.81,-0.45
30/07/2021,4395.12,4395.26,4412.25,4389.65,0
29/07/2021,4403.59,4419.15,4429.97,4403.59,0.35
28/07/2021,4402.95,4400.64,4415.47,4387.01,-0.05
27/07/2021,4416.38,4401.46,4416.38,4372.51,-0.34
26/07/2021,4409.58,4422.3,4422.73,4405.45,0.29
23/07/2021,4381.2,4411.79,4415.18,4381.2,0.7
22/07/2021,4361.27,4367.48,4369.87,4350.06,0.14
21/07/2021,4331.13,4358.69,4359.7,4331.13,0.64
20/07/2021,4265.11,4323.06,4336.84,4262.05,1.36
19/07/2021,4296.4,4258.49,4296.4,4233.13,-0.88
16/07/2021,4367.43,4327.16,4375.09,4322.53,-0.92
15/07/2021,4369.02,4360.03,4369.02,4340.7,-0.21
14/07/2021,4380.11,4374.3,4393.68,4362.36,-0.13
13/07/2021,4381.07,4369.21,4392.37,4366.92,-0.27
12/07/2021,4372.41,4384.63,4386.68,4364.03,0.28
09/07/2021,4329.38,4369.55,4371.6,4329.38,0.93
08/07/2021,4321.07,4320.82,4330.88,4289.37,-0.01
07/07/2021,4351.01,4358.13,4361.88,4329.79,0.16
06/07/2021,4356.46,4343.54,4356.46,4314.37,-0.3
02/07/2021,4326.6,4352.34,4355.43,4326.6,0.59
01/07/2021,4300.73,4319.94,4320.66,4300.73,0.45
30/06/2021,4290.65,4297.5,4302.43,4287.96,0.16
29/06/2021,4293.21,4291.8,4300.52,4287.04,-0.03
28/06/2021,4284.9,4290.61,4292.14,4274.67,0.13
25/06/2021,4274.45,4280.7,4286.12,4271.16,0.15
24/06/2021,4256.97,4266.49,4271.28,4256.97,0.22
23/06/2021,4249.27,4241.84,4256.6,4241.43,-0.17
22/06/2021,4224.61,4246.44,4255.84,4217.27,0.52
21/06/2021,4173.4,4224.79,4226.24,4173.4,1.23
18/06/2021,4204.78,4166.45,4204.78,4164.4,-0.91
17/06/2021,4220.37,4221.86,4232.29,4196.05,0.04
16/06/2021,4248.87,4223.7,4251.89,4202.45,-0.59
15/06/2021,4255.28,4246.59,4257.16,4238.35,-0.2
14/06/2021,4248.31,4255.15,4255.59,4234.07,0.16
11/06/2021,4242.9,4247.44,4248.38,4232.25,0.11
10/06/2021,4228.56,4239.18,4249.74,4220.34,0.25
09/06/2021,4232.99,4219.55,4237.09,4218.74,-0.32
08/06/2021,4233.81,4227.26,4236.74,4208.41,-0.15
07/06/2021,4229.34,4226.52,4232.34,4215.66,-0.07
04/06/2021,4206.05,4229.89,4233.45,4206.05,0.57
03/06/2021,4191.43,4192.85,4204.39,4167.93,0.03
02/06/2021,4206.82,4208.12,4217.37,4198.27,0.03
01/06/2021,4216.52,4202.04,4234.12,4197.59,-0.34
28/05/2021,4210.77,4204.11,4218.36,4203.57,-0.16
27/05/2021,4201.94,4200.88,4213.38,4197.78,-0.03
26/05/2021,4191.59,4195.99,4202.61,4184.11,0.1
25/05/2021,4205.94,4188.13,4213.42,4182.52,-0.42
24/05/2021,4170.16,4197.05,4209.52,4170.16,0.64
21/05/2021,4168.61,4155.86,4188.72,4151.72,-0.31
20/05/2021,4121.97,4159.12,4172.8,4121.97,0.9
19/05/2021,4098.45,4115.68,4116.93,4061.41,0.42
18/05/2021,4165.94,4127.83,4169.15,4125.99,-0.91
17/05/2021,4169.92,4163.29,4171.92,4142.69,-0.16
14/05/2021,4129.58,4173.85,4183.13,4129.58,1.07
13/05/2021,4074.99,4112.5,4131.58,4074.99,0.92
12/05/2021,4130.55,4063.04,4134.73,4056.88,-1.63
11/05/2021,4150.34,4152.1,4162.04,4111.53,0.04
10/05/2021,4228.29,4188.43,4236.39,4188.13,-0.94
07/05/2021,4210.34,4232.6,4238.04,4201.64,0.53
06/05/2021,4169.14,4201.62,4202.7,4147.33,0.78
05/05/2021,4177.06,4167.59,4187.72,4160.94,-0.23
04/05/2021,4179.04,4164.66,4179.04,4128.59,-0.34
03/05/2021,4191.98,4192.66,4209.39,4188.03,0.02
30/04/2021,4198.1,4181.17,4198.1,4174.85,-0.4
29/04/2021,4206.14,4211.47,4218.78,4176.81,0.13
28/04/2021,4185.14,4183.18,4201.53,4181.78,-0.05
27/04/2021,4188.25,4186.72,4193.35,4176.22,-0.04
26/04/2021,4185.03,4187.62,4194.19,4182.36,0.06
23/04/2021,4138.78,4180.17,4194.17,4138.78,1
22/04/2021,4170.46,4134.98,4179.57,4123.69,-0.85
21/04/2021,4128.42,4173.42,4175.02,4126.35,1.09
20/04/2021,4159.18,4134.94,4159.18,4118.38,-0.58
19/04/2021,4179.8,4163.26,4180.81,4150.47,-0.4
16/04/2021,4174.14,4185.47,4191.31,4170.75,0.27
15/04/2021,4139.76,4170.42,4173.49,4139.76,0.74
14/04/2021,4141.58,4124.66,4151.69,4120.87,-0.41
13/04/2021,4130.1,4141.59,4148,4124.43,0.28
12/04/2021,4124.71,4127.99,4131.76,4114.82,0.08
09/04/2021,4096.11,4128.8,4129.48,4095.51,0.8
08/04/2021,4089.95,4097.17,4098.19,4082.54,0.18
